Country,Sex,Income Group,DALYs,VLW (billion USD),VLW undiscounted (billion USD),VLW/GDP (%)
Togo,Male,Low income,"1,509 (980<e2><80><93>2,144)",0.027 (0.018<e2><80><93>0.039),0.014 (0.009<e2><80><93>0.020),0.0932 (0.0606<e2><80><93>0.1325)
Togo,Female,Low income,"1,479 (952<e2><80><93>2,149)",0.027 (0.017<e2><80><93>0.039),0.013 (0.009<e2><80><93>0.019),0.0914 (0.0588<e2><80><93>0.1328)
Afghanistan,Male,Low income,"2,541 (1,436<e2><80><93>5,992)",0.032 (0.018<e2><80><93>0.076),0.016 (0.009<e2><80><93>0.037),0.0352 (0.0199<e2><80><93>0.0831)
Afghanistan,Female,Low income,"2,222 (1,332<e2><80><93>3,313)",0.028 (0.017<e2><80><93>0.042),0.014 (0.008<e2><80><93>0.021),0.0308 (0.0185<e2><80><93>0.0460)
Central African Republic,Male,Low income,489 (289<e2><80><93>871),0.004 (0.002<e2><80><93>0.006),0.002 (0.001<e2><80><93>0.004),0.0546 (0.0323<e2><80><93>0.0972)
Central African Republic,Female,Low income,"766 (441<e2><80><93>1,130)",0.006 (0.003<e2><80><93>0.008),0.003 (0.002<e2><80><93>0.005),0.0855 (0.0492<e2><80><93>0.1260)
Georgia,Male,Upper middle income,"6,011 (5,036<e2><80><93>7,186)",0.866 (0.726<e2><80><93>1.036),0.394 (0.330<e2><80><93>0.471),0.9302 (0.7792<e2><80><93>1.1120)
Georgia,Female,Upper middle income,"3,605 (2,984<e2><80><93>4,297)",0.520 (0.430<e2><80><93>0.619),0.215 (0.178<e2><80><93>0.257),0.5579 (0.4617<e2><80><93>0.6649)
Indonesia,Male,Upper middle income,"168,536 (109,144<e2><80><93>242,062)",14.938 (9.674<e2><80><93>21.455),6.709 (4.344<e2><80><93>9.635),0.3446 (0.2232<e2><80><93>0.4949)
Indonesia,Female,Upper middle income,"115,182 (77,533<e2><80><93>160,912)",10.209 (6.872<e2><80><93>14.262),4.413 (2.971<e2><80><93>6.166),0.2355 (0.1585<e2><80><93>0.3290)
Malawi,Male,Low income,"1,455 (924<e2><80><93>2,099)",0.015 (0.010<e2><80><93>0.022),0.008 (0.005<e2><80><93>0.012),0.0396 (0.0252<e2><80><93>0.0572)
Malawi,Female,Low income,"1,279 (866<e2><80><93>1,830)",0.013 (0.009<e2><80><93>0.019),0.007 (0.005<e2><80><93>0.010),0.0349 (0.0236<e2><80><93>0.0498)
Jamaica,Male,Upper middle income,"2,095 (1,688<e2><80><93>2,582)",0.152 (0.123<e2><80><93>0.188),0.067 (0.054<e2><80><93>0.082),0.4241 (0.3418<e2><80><93>0.5227)
Jamaica,Female,Upper middle income,"1,678 (1,376<e2><80><93>2,053)",0.122 (0.100<e2><80><93>0.149),0.051 (0.042<e2><80><93>0.063),0.3398 (0.2786<e2><80><93>0.4156)
Guinea-Bissau,Male,Low income,243 (154<e2><80><93>348),0.004 (0.003<e2><80><93>0.006),0.002 (0.001<e2><80><93>0.003),0.0650 (0.0411<e2><80><93>0.0930)
Guinea-Bissau,Female,Low income,289 (194<e2><80><93>400),0.005 (0.003<e2><80><93>0.007),0.003 (0.002<e2><80><93>0.004),0.0771 (0.0517<e2><80><93>0.1068)
Kiribati,Male,Lower middle income,8 (5<e2><80><93>11),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0341 (0.0221<e2><80><93>0.0472)
Kiribati,Female,Lower middle income,13 (9<e2><80><93>19),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0576 (0.0372<e2><80><93>0.0820)
Kazakhstan,Male,Upper middle income,"16,971 (14,787<e2><80><93>19,531)",3.758 (3.275<e2><80><93>4.325),1.687 (1.470<e2><80><93>1.941),0.4799 (0.4182<e2><80><93>0.5523)
Kazakhstan,Female,Upper middle income,"10,707 (9,090<e2><80><93>12,540)",2.371 (2.013<e2><80><93>2.777),0.988 (0.839<e2><80><93>1.157),0.3028 (0.2571<e2><80><93>0.3546)
Sudan,Male,Low income,"12,210 (6,867<e2><80><93>19,115)",0.170 (0.096<e2><80><93>0.266),0.080 (0.045<e2><80><93>0.126),0.1403 (0.0789<e2><80><93>0.2196)
Sudan,Female,Low income,"8,108 (5,364<e2><80><93>11,735)",0.113 (0.075<e2><80><93>0.163),0.053 (0.035<e2><80><93>0.077),0.0932 (0.0616<e2><80><93>0.1348)
India,Male,Lower middle income,"359,274 (251,475<e2><80><93>493,155)",21.325 (14.926<e2><80><93>29.271),9.737 (6.815<e2><80><93>13.365),0.1436 (0.1005<e2><80><93>0.1972)
India,Female,Lower middle income,"232,511 (164,167<e2><80><93>326,158)",13.801 (9.744<e2><80><93>19.359),6.315 (4.459<e2><80><93>8.858),0.0930 (0.0656<e2><80><93>0.1304)
Democratic Republic of the Congo,Male,Low income,"13,013 (8,356<e2><80><93>18,991)",0.129 (0.083<e2><80><93>0.189),0.069 (0.044<e2><80><93>0.101),0.0707 (0.0454<e2><80><93>0.1032)
Democratic Republic of the Congo,Female,Low income,"18,880 (11,688<e2><80><93>26,381)",0.188 (0.116<e2><80><93>0.262),0.100 (0.062<e2><80><93>0.139),0.1026 (0.0635<e2><80><93>0.1434)
Lao People's Democratic Republic,Male,Lower middle income,"2,755 (1,765<e2><80><93>3,958)",0.147 (0.094<e2><80><93>0.211),0.070 (0.045<e2><80><93>0.101),0.2066 (0.1324<e2><80><93>0.2969)
Lao People's Democratic Republic,Female,Lower middle income,"2,960 (1,900<e2><80><93>4,267)",0.158 (0.101<e2><80><93>0.228),0.075 (0.048<e2><80><93>0.108),0.2220 (0.1425<e2><80><93>0.3201)
Mozambique,Male,Low income,651 (438<e2><80><93>970),0.006 (0.004<e2><80><93>0.009),0.003 (0.002<e2><80><93>0.005),0.0111 (0.0075<e2><80><93>0.0166)
Mozambique,Female,Low income,510 (331<e2><80><93>726),0.005 (0.003<e2><80><93>0.007),0.002 (0.002<e2><80><93>0.003),0.0087 (0.0057<e2><80><93>0.0124)
Bangladesh,Male,Lower middle income,"53,484 (34,244<e2><80><93>77,121)",2.813 (1.801<e2><80><93>4.056),1.262 (0.808<e2><80><93>1.819),0.1793 (0.1148<e2><80><93>0.2586)
Bangladesh,Female,Lower middle income,"32,980 (21,948<e2><80><93>47,885)",1.735 (1.154<e2><80><93>2.519),0.802 (0.533<e2><80><93>1.164),0.1106 (0.0736<e2><80><93>0.1606)
Sierra Leone,Male,Low income,"1,678 (1,082<e2><80><93>2,368)",0.033 (0.021<e2><80><93>0.046),0.018 (0.012<e2><80><93>0.025),0.1140 (0.0736<e2><80><93>0.1609)
Sierra Leone,Female,Low income,"1,098 (699<e2><80><93>1,593)",0.021 (0.014<e2><80><93>0.031),0.012 (0.007<e2><80><93>0.017),0.0746 (0.0475<e2><80><93>0.1082)
Samoa,Male,Upper middle income,93 (58<e2><80><93>138),0.004 (0.003<e2><80><93>0.007),0.002 (0.001<e2><80><93>0.003),0.2480 (0.1540<e2><80><93>0.3665)
Samoa,Female,Upper middle income,53 (34<e2><80><93>78),0.003 (0.002<e2><80><93>0.004),0.001 (0.001<e2><80><93>0.002),0.1417 (0.0907<e2><80><93>0.2066)
North Macedonia,Male,Upper middle income,"3,765 (3,121<e2><80><93>4,599)",0.531 (0.440<e2><80><93>0.649),0.226 (0.187<e2><80><93>0.276),1.1843 (0.9817<e2><80><93>1.4468)
North Macedonia,Female,Upper middle income,"2,558 (2,157<e2><80><93>3,146)",0.361 (0.304<e2><80><93>0.444),0.149 (0.126<e2><80><93>0.184),0.8047 (0.6785<e2><80><93>0.9897)
Mongolia,Male,Upper middle income,"3,908 (2,975<e2><80><93>5,001)",0.405 (0.308<e2><80><93>0.518),0.188 (0.143<e2><80><93>0.241),0.6455 (0.4914<e2><80><93>0.8259)
Mongolia,Female,Upper middle income,"2,453 (1,795<e2><80><93>3,123)",0.254 (0.186<e2><80><93>0.323),0.106 (0.077<e2><80><93>0.135),0.4051 (0.2965<e2><80><93>0.5157)
Pakistan,Male,Lower middle income,"42,739 (26,620<e2><80><93>61,380)",1.478 (0.920<e2><80><93>2.122),0.682 (0.425<e2><80><93>0.979),0.0993 (0.0618<e2><80><93>0.1426)
Pakistan,Female,Lower middle income,"52,084 (35,025<e2><80><93>75,950)",1.801 (1.211<e2><80><93>2.626),0.856 (0.575<e2><80><93>1.248),0.1210 (0.0814<e2><80><93>0.1764)
Philippines,Male,Lower middle income,"43,226 (33,593<e2><80><93>53,387)",2.730 (2.122<e2><80><93>3.372),1.242 (0.965<e2><80><93>1.534),0.2163 (0.1681<e2><80><93>0.2672)
Philippines,Female,Lower middle income,"37,529 (29,121<e2><80><93>46,398)",2.370 (1.839<e2><80><93>2.931),1.015 (0.788<e2><80><93>1.255),0.1878 (0.1457<e2><80><93>0.2322)
Comoros,Male,Lower middle income,88 (58<e2><80><93>127),0.002 (0.001<e2><80><93>0.003),0.001 (0.001<e2><80><93>0.001),0.0594 (0.0394<e2><80><93>0.0860)
Comoros,Female,Lower middle income,78 (52<e2><80><93>110),0.002 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.0530 (0.0352<e2><80><93>0.0741)
Tonga,Male,Upper middle income,82 (52<e2><80><93>115),0.004 (0.002<e2><80><93>0.005),0.002 (0.001<e2><80><93>0.002),0.4490 (0.2839<e2><80><93>0.6341)
Tonga,Female,Upper middle income,45 (30<e2><80><93>61),0.002 (0.001<e2><80><93>0.003),0.001 (0.001<e2><80><93>0.001),0.2454 (0.1641<e2><80><93>0.3374)
Gabon,Male,Upper middle income,604 (411<e2><80><93>825),0.072 (0.049<e2><80><93>0.098),0.035 (0.024<e2><80><93>0.048),0.1397 (0.0951<e2><80><93>0.1908)
Gabon,Female,Upper middle income,"771 (512<e2><80><93>1,050)",0.092 (0.061<e2><80><93>0.125),0.045 (0.030<e2><80><93>0.062),0.1784 (0.1184<e2><80><93>0.2429)
Palestine,Male,Lower middle income,"2,447 (1,768<e2><80><93>3,177)",0.084 (0.060<e2><80><93>0.109),0.044 (0.032<e2><80><93>0.057),0.2724 (0.1968<e2><80><93>0.3536)
Palestine,Female,Lower middle income,"1,476 (1,044<e2><80><93>1,957)",0.051 (0.036<e2><80><93>0.067),0.023 (0.017<e2><80><93>0.031),0.1643 (0.1162<e2><80><93>0.2178)
Thailand,Male,Upper middle income,"87,430 (67,731<e2><80><93>112,940)",11.823 (9.159<e2><80><93>15.272),5.100 (3.951<e2><80><93>6.588),0.7011 (0.5431<e2><80><93>0.9056)
Thailand,Female,Upper middle income,"52,056 (42,226<e2><80><93>61,218)",7.039 (5.710<e2><80><93>8.278),2.806 (2.276<e2><80><93>3.299),0.4174 (0.3386<e2><80><93>0.4909)
Tunisia,Male,Lower middle income,"13,110 (9,697<e2><80><93>16,823)",1.058 (0.783<e2><80><93>1.358),0.463 (0.343<e2><80><93>0.595),0.6178 (0.4570<e2><80><93>0.7928)
Tunisia,Female,Lower middle income,"7,254 (4,984<e2><80><93>9,676)",0.586 (0.402<e2><80><93>0.781),0.251 (0.172<e2><80><93>0.334),0.3419 (0.2349<e2><80><93>0.4560)
Turkmenistan,Male,Upper middle income,"2,105 (1,690<e2><80><93>2,597)",0.240 (0.193<e2><80><93>0.296),0.111 (0.089<e2><80><93>0.137),0.1644 (0.1319<e2><80><93>0.2027)
Turkmenistan,Female,Upper middle income,"1,505 (1,213<e2><80><93>1,871)",0.172 (0.138<e2><80><93>0.213),0.075 (0.061<e2><80><93>0.093),0.1175 (0.0947<e2><80><93>0.1461)
Iraq,Male,Upper middle income,"35,233 (25,756<e2><80><93>43,495)",2.968 (2.170<e2><80><93>3.664),1.398 (1.022<e2><80><93>1.726),0.4494 (0.3285<e2><80><93>0.5548)
Iraq,Female,Upper middle income,"22,705 (17,725<e2><80><93>29,229)",1.913 (1.493<e2><80><93>2.462),0.862 (0.673<e2><80><93>1.110),0.2896 (0.2261<e2><80><93>0.3728)
Cameroon,Male,Lower middle income,"7,269 (4,809<e2><80><93>10,412)",0.226 (0.150<e2><80><93>0.324),0.117 (0.078<e2><80><93>0.168),0.1473 (0.0974<e2><80><93>0.2110)
Cameroon,Female,Lower middle income,"6,301 (4,170<e2><80><93>9,097)",0.196 (0.130<e2><80><93>0.283),0.102 (0.068<e2><80><93>0.147),0.1277 (0.0845<e2><80><93>0.1843)
Bhutan,Male,Lower middle income,178 (109<e2><80><93>262),0.017 (0.010<e2><80><93>0.024),0.007 (0.004<e2><80><93>0.011),0.1301 (0.0799<e2><80><93>0.1915)
Bhutan,Female,Lower middle income,154 (96<e2><80><93>225),0.014 (0.009<e2><80><93>0.021),0.007 (0.004<e2><80><93>0.010),0.1129 (0.0705<e2><80><93>0.1646)
Niger,Male,Low income,"4,942 (3,159<e2><80><93>6,857)",0.053 (0.034<e2><80><93>0.074),0.029 (0.018<e2><80><93>0.040),0.1086 (0.0694<e2><80><93>0.1507)
Niger,Female,Low income,"1,249 (852<e2><80><93>1,757)",0.013 (0.009<e2><80><93>0.019),0.007 (0.005<e2><80><93>0.010),0.0275 (0.0187<e2><80><93>0.0386)
Viet Nam,Male,Lower middle income,"60,395 (37,825<e2><80><93>84,721)",5.220 (3.270<e2><80><93>7.323),2.275 (1.425<e2><80><93>3.192),0.3460 (0.2167<e2><80><93>0.4854)
Viet Nam,Female,Lower middle income,"37,088 (25,453<e2><80><93>55,589)",3.206 (2.200<e2><80><93>4.805),1.289 (0.885<e2><80><93>1.932),0.2125 (0.1458<e2><80><93>0.3185)
Peru,Male,Upper middle income,"23,509 (19,879<e2><80><93>28,704)",2.299 (1.944<e2><80><93>2.807),0.978 (0.827<e2><80><93>1.195),0.3994 (0.3377<e2><80><93>0.4876)
Peru,Female,Upper middle income,"27,479 (23,031<e2><80><93>32,753)",2.688 (2.253<e2><80><93>3.203),1.127 (0.945<e2><80><93>1.343),0.4668 (0.3912<e2><80><93>0.5564)
Paraguay,Male,Upper middle income,"4,595 (3,660<e2><80><93>5,728)",0.464 (0.370<e2><80><93>0.578),0.213 (0.170<e2><80><93>0.265),0.3860 (0.3075<e2><80><93>0.4812)
Paraguay,Female,Upper middle income,"4,420 (3,572<e2><80><93>5,556)",0.446 (0.361<e2><80><93>0.561),0.195 (0.157<e2><80><93>0.245),0.3713 (0.3001<e2><80><93>0.4667)
Chad,Male,Low income,"2,165 (1,373<e2><80><93>3,274)",0.034 (0.021<e2><80><93>0.051),0.019 (0.012<e2><80><93>0.028),0.0644 (0.0408<e2><80><93>0.0974)
Chad,Female,Low income,"1,570 (1,025<e2><80><93>2,261)",0.024 (0.016<e2><80><93>0.035),0.013 (0.009<e2><80><93>0.019),0.0467 (0.0305<e2><80><93>0.0673)
Sao Tome and Principe,Male,Lower middle income,20 (13<e2><80><93>29),0.001 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0507 (0.0330<e2><80><93>0.0729)
Sao Tome and Principe,Female,Lower middle income,17 (11<e2><80><93>25),0.001 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0430 (0.0271<e2><80><93>0.0613)
Haiti,Male,Lower middle income,"4,742 (2,910<e2><80><93>7,964)",0.090 (0.055<e2><80><93>0.151),0.048 (0.029<e2><80><93>0.080),0.2343 (0.1438<e2><80><93>0.3935)
Haiti,Female,Lower middle income,"4,533 (2,961<e2><80><93>6,690)",0.086 (0.056<e2><80><93>0.127),0.046 (0.030<e2><80><93>0.068),0.2240 (0.1463<e2><80><93>0.3305)
Guinea,Male,Lower middle income,"957 (646<e2><80><93>1,335)",0.024 (0.016<e2><80><93>0.033),0.012 (0.008<e2><80><93>0.017),0.0382 (0.0258<e2><80><93>0.0533)
Guinea,Female,Lower middle income,"850 (563<e2><80><93>1,218)",0.021 (0.014<e2><80><93>0.030),0.011 (0.007<e2><80><93>0.016),0.0339 (0.0225<e2><80><93>0.0486)
Mauritius,Male,Upper middle income,"1,463 (1,214<e2><80><93>1,767)",0.249 (0.206<e2><80><93>0.300),0.112 (0.093<e2><80><93>0.136),0.6735 (0.5591<e2><80><93>0.8137)
Mauritius,Female,Upper middle income,"945 (799<e2><80><93>1,101)",0.161 (0.136<e2><80><93>0.187),0.068 (0.057<e2><80><93>0.079),0.4351 (0.3678<e2><80><93>0.5068)
Botswana,Male,Upper middle income,"767 (486<e2><80><93>1,140)",0.093 (0.059<e2><80><93>0.138),0.044 (0.028<e2><80><93>0.066),0.1777 (0.1126<e2><80><93>0.2643)
Botswana,Female,Upper middle income,516 (317<e2><80><93>787),0.062 (0.038<e2><80><93>0.095),0.028 (0.018<e2><80><93>0.043),0.1195 (0.0736<e2><80><93>0.1824)
Libya,Male,Upper middle income,"6,133 (3,780<e2><80><93>9,138)",0.488 (0.301<e2><80><93>0.728),0.224 (0.138<e2><80><93>0.333),0.4827 (0.2975<e2><80><93>0.7191)
Libya,Female,Upper middle income,"3,719 (2,442<e2><80><93>5,493)",0.296 (0.194<e2><80><93>0.437),0.141 (0.093<e2><80><93>0.209),0.2927 (0.1922<e2><80><93>0.4323)
Equatorial Guinea,Male,Upper middle income,469 (287<e2><80><93>707),0.047 (0.029<e2><80><93>0.071),0.025 (0.016<e2><80><93>0.038),0.1458 (0.0895<e2><80><93>0.2201)
Equatorial Guinea,Female,Upper middle income,516 (326<e2><80><93>731),0.052 (0.033<e2><80><93>0.073),0.027 (0.017<e2><80><93>0.038),0.1606 (0.1015<e2><80><93>0.2274)
Gambia,Male,Low income,204 (133<e2><80><93>300),0.004 (0.003<e2><80><93>0.006),0.002 (0.001<e2><80><93>0.003),0.0434 (0.0283<e2><80><93>0.0639)
Gambia,Female,Low income,188 (128<e2><80><93>255),0.004 (0.002<e2><80><93>0.005),0.002 (0.001<e2><80><93>0.002),0.0400 (0.0273<e2><80><93>0.0544)
Eswatini,Male,Lower middle income,281 (170<e2><80><93>417),0.018 (0.011<e2><80><93>0.027),0.010 (0.006<e2><80><93>0.015),0.1311 (0.0795<e2><80><93>0.1949)
Eswatini,Female,Lower middle income,283 (189<e2><80><93>420),0.018 (0.012<e2><80><93>0.027),0.010 (0.006<e2><80><93>0.014),0.1321 (0.0882<e2><80><93>0.1960)
Namibia,Male,Lower middle income,416 (272<e2><80><93>567),0.027 (0.018<e2><80><93>0.037),0.014 (0.009<e2><80><93>0.018),0.0807 (0.0528<e2><80><93>0.1101)
Namibia,Female,Lower middle income,249 (170<e2><80><93>338),0.016 (0.011<e2><80><93>0.022),0.008 (0.005<e2><80><93>0.010),0.0484 (0.0330<e2><80><93>0.0655)
Colombia,Male,Upper middle income,"31,070 (28,949<e2><80><93>33,028)",3.741 (3.486<e2><80><93>3.977),1.571 (1.464<e2><80><93>1.670),0.3414 (0.3181<e2><80><93>0.3629)
Colombia,Female,Upper middle income,"32,522 (29,344<e2><80><93>35,964)",3.916 (3.534<e2><80><93>4.331),1.577 (1.423<e2><80><93>1.744),0.3574 (0.3225<e2><80><93>0.3952)
Saint Lucia,Male,Upper middle income,181 (141<e2><80><93>224),0.027 (0.021<e2><80><93>0.033),0.012 (0.009<e2><80><93>0.015),0.5805 (0.4526<e2><80><93>0.7179)
Saint Lucia,Female,Upper middle income,174 (140<e2><80><93>209),0.026 (0.021<e2><80><93>0.031),0.011 (0.009<e2><80><93>0.013),0.5576 (0.4494<e2><80><93>0.6710)
El Salvador,Male,Upper middle income,"4,176 (3,193<e2><80><93>5,381)",0.304 (0.233<e2><80><93>0.392),0.142 (0.109<e2><80><93>0.183),0.3806 (0.2909<e2><80><93>0.4904)
El Salvador,Female,Upper middle income,"5,563 (4,028<e2><80><93>7,318)",0.406 (0.294<e2><80><93>0.533),0.174 (0.126<e2><80><93>0.229),0.5069 (0.3670<e2><80><93>0.6668)
Rwanda,Male,Low income,"4,207 (2,677<e2><80><93>5,957)",0.082 (0.052<e2><80><93>0.116),0.042 (0.027<e2><80><93>0.059),0.1733 (0.1103<e2><80><93>0.2454)
Rwanda,Female,Low income,"3,359 (2,266<e2><80><93>4,787)",0.066 (0.044<e2><80><93>0.094),0.032 (0.021<e2><80><93>0.045),0.1384 (0.0934<e2><80><93>0.1972)
China,Both,Upper middle income,"2,765,626 (2,343,072<e2><80><93>3,304,790)",400.374 (339.201<e2><80><93>478.427),161.500 (136.848<e2><80><93>192.877),1.1272 (0.9549<e2><80><93>1.3469)
Cambodia,Both,Lower middle income,"9,144 (5,911<e2><80><93>13,398)",0.391 (0.253<e2><80><93>0.572),0.171 (0.111<e2><80><93>0.251),0.3017 (0.1951<e2><80><93>0.4421)
Indonesia,Both,Upper middle income,"283,718 (186,677<e2><80><93>402,975)",25.147 (16.546<e2><80><93>35.717),11.122 (7.315<e2><80><93>15.801),0.5801 (0.3817<e2><80><93>0.8240)
Lao People's Democratic Republic,Both,Lower middle income,"5,715 (3,665<e2><80><93>8,225)",0.305 (0.196<e2><80><93>0.439),0.145 (0.093<e2><80><93>0.209),0.4287 (0.2749<e2><80><93>0.6169)
Malaysia,Both,Upper middle income,"37,254 (30,202<e2><80><93>46,021)",7.811 (6.332<e2><80><93>9.649),3.265 (2.649<e2><80><93>4.032),0.6098 (0.4943<e2><80><93>0.7533)
Maldives,Both,Upper middle income,256 (182<e2><80><93>337),0.036 (0.026<e2><80><93>0.048),0.015 (0.011<e2><80><93>0.020),0.2796 (0.1994<e2><80><93>0.3687)
Myanmar,Both,Lower middle income,"53,369 (34,514<e2><80><93>76,507)",1.827 (1.181<e2><80><93>2.619),0.890 (0.575<e2><80><93>1.276),0.5668 (0.3666<e2><80><93>0.8126)
Philippines,Both,Lower middle income,"80,755 (62,714<e2><80><93>99,785)",5.101 (3.961<e2><80><93>6.303),2.257 (1.753<e2><80><93>2.789),0.4041 (0.3138<e2><80><93>0.4994)
Sri Lanka,Both,Lower middle income,"20,990 (16,847<e2><80><93>26,077)",1.745 (1.400<e2><80><93>2.167),0.731 (0.587<e2><80><93>0.907),0.5476 (0.4396<e2><80><93>0.6804)
Thailand,Both,Upper middle income,"139,485 (109,958<e2><80><93>174,157)",18.862 (14.869<e2><80><93>23.550),7.906 (6.227<e2><80><93>9.887),1.1185 (0.8817<e2><80><93>1.3965)
Timor-Leste,Both,Lower middle income,629 (401<e2><80><93>922),0.017 (0.011<e2><80><93>0.025),0.008 (0.005<e2><80><93>0.012),0.2613 (0.1666<e2><80><93>0.3832)
Viet Nam,Both,Lower middle income,"97,483 (63,278<e2><80><93>140,310)",8.426 (5.470<e2><80><93>12.128),3.565 (2.310<e2><80><93>5.124),0.5585 (0.3625<e2><80><93>0.8039)
Fiji,Both,Upper middle income,"870 (589<e2><80><93>1,203)",0.073 (0.050<e2><80><93>0.101),0.035 (0.024<e2><80><93>0.048),0.5415 (0.3662<e2><80><93>0.7485)
Kiribati,Both,Lower middle income,21 (14<e2><80><93>30),0.000 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0917 (0.0593<e2><80><93>0.1292)
Marshall Islands,Both,Upper middle income,49 (31<e2><80><93>81),0.002 (0.001<e2><80><93>0.004),0.001 (0.001<e2><80><93>0.002),0.7218 (0.4529<e2><80><93>1.1972)
Micronesia (Federated States of),Both,Lower middle income,80 (55<e2><80><93>108),0.002 (0.001<e2><80><93>0.003),0.001 (0.001<e2><80><93>0.001),0.4088 (0.2819<e2><80><93>0.5537)
Papua New Guinea,Both,Lower middle income,"4,367 (2,580<e2><80><93>7,266)",0.117 (0.069<e2><80><93>0.195),0.056 (0.033<e2><80><93>0.094),0.2416 (0.1428<e2><80><93>0.4021)
Samoa,Both,Upper middle income,147 (92<e2><80><93>216),0.007 (0.004<e2><80><93>0.010),0.003 (0.002<e2><80><93>0.005),0.3897 (0.2447<e2><80><93>0.5731)
Solomon Islands,Both,Lower middle income,596 (368<e2><80><93>890),0.009 (0.005<e2><80><93>0.013),0.004 (0.003<e2><80><93>0.007),0.4281 (0.2645<e2><80><93>0.6397)
Tonga,Both,Upper middle income,126 (81<e2><80><93>177),0.006 (0.004<e2><80><93>0.008),0.003 (0.002<e2><80><93>0.004),0.6944 (0.4480<e2><80><93>0.9715)
Vanuatu,Both,Lower middle income,139 (86<e2><80><93>212),0.003 (0.002<e2><80><93>0.004),0.001 (0.001<e2><80><93>0.002),0.2491 (0.1542<e2><80><93>0.3807)
Armenia,Both,Upper middle income,"8,606 (7,374<e2><80><93>10,022)",1.066 (0.913<e2><80><93>1.241),0.439 (0.376<e2><80><93>0.511),1.6693 (1.4303<e2><80><93>1.9438)
Azerbaijan,Both,Upper middle income,"13,596 (9,764<e2><80><93>17,767)",1.849 (1.328<e2><80><93>2.416),0.826 (0.593<e2><80><93>1.079),0.7699 (0.5529<e2><80><93>1.0060)
Georgia,Both,Upper middle income,"9,616 (8,019<e2><80><93>11,483)",1.386 (1.156<e2><80><93>1.655),0.610 (0.509<e2><80><93>0.728),1.4881 (1.2410<e2><80><93>1.7769)
Kazakhstan,Both,Upper middle income,"27,678 (23,877<e2><80><93>32,071)",6.129 (5.287<e2><80><93>7.102),2.675 (2.309<e2><80><93>3.099),0.7827 (0.6753<e2><80><93>0.9070)
Kyrgyzstan,Both,Lower middle income,"6,771 (5,662<e2><80><93>8,128)",0.284 (0.238<e2><80><93>0.341),0.122 (0.102<e2><80><93>0.146),0.5484 (0.4586<e2><80><93>0.6582)
Mongolia,Both,Upper middle income,"6,361 (4,770<e2><80><93>8,123)",0.658 (0.494<e2><80><93>0.841),0.294 (0.221<e2><80><93>0.376),1.0506 (0.7879<e2><80><93>1.3417)
Tajikistan,Both,Lower middle income,"3,357 (2,289<e2><80><93>4,584)",0.096 (0.065<e2><80><93>0.131),0.043 (0.029<e2><80><93>0.058),0.1858 (0.1267<e2><80><93>0.2537)
Turkmenistan,Both,Upper middle income,"3,611 (2,902<e2><80><93>4,467)",0.412 (0.331<e2><80><93>0.509),0.186 (0.150<e2><80><93>0.231),0.2819 (0.2266<e2><80><93>0.3488)
Uzbekistan,Both,Lower middle income,"20,241 (16,840<e2><80><93>24,112)",1.293 (1.075<e2><80><93>1.540),0.571 (0.475<e2><80><93>0.681),0.3264 (0.2716<e2><80><93>0.3889)
Albania,Both,Upper middle income,"5,284 (3,842<e2><80><93>6,733)",0.733 (0.533<e2><80><93>0.934),0.300 (0.218<e2><80><93>0.382),1.2585 (0.9150<e2><80><93>1.6036)
Bosnia and Herzegovina,Both,Upper middle income,"12,762 (10,138<e2><80><93>15,861)",1.652 (1.312<e2><80><93>2.053),0.694 (0.551<e2><80><93>0.863),2.3038 (1.8301<e2><80><93>2.8631)
North Macedonia,Both,Upper middle income,"6,323 (5,278<e2><80><93>7,746)",0.892 (0.744<e2><80><93>1.093),0.375 (0.313<e2><80><93>0.460),1.9890 (1.6602<e2><80><93>2.4364)
Montenegro,Both,Upper middle income,"2,351 (1,713<e2><80><93>3,057)",0.420 (0.306<e2><80><93>0.546),0.177 (0.129<e2><80><93>0.231),2.1680 (1.5791<e2><80><93>2.8191)
Serbia,Both,Upper middle income,"38,231 (31,348<e2><80><93>47,481)",6.319 (5.182<e2><80><93>7.848),2.676 (2.194<e2><80><93>3.323),3.3188 (2.7213<e2><80><93>4.1218)
Belarus,Both,Upper middle income,"32,045 (27,978<e2><80><93>36,301)",5.681 (4.960<e2><80><93>6.435),2.496 (2.177<e2><80><93>2.828),2.0074 (1.7526<e2><80><93>2.2740)
Republic of Moldova,Both,Upper middle income,"11,900 (10,033<e2><80><93>14,032)",1.214 (1.024<e2><80><93>1.432),0.524 (0.442<e2><80><93>0.618),2.7838 (2.3471<e2><80><93>3.2825)
Ukraine,Both,Upper middle income,"131,923 (110,384<e2><80><93>157,933)",13.399 (11.211<e2><80><93>16.041),6.116 (5.121<e2><80><93>7.321),2.1512 (1.7999<e2><80><93>2.5753)
