series,outcome,model,origin,h,actual,pred,lo,hi,err,abs_err,ape,covered,mase_scale,scaled_err
Upper middle income,DALY,ETS,2016,4,4222895.9903025245,4719283.455603986,4384125.605724099,5054441.305483873,-496387.4653014615,496387.4653014615,11.754669460042768,0,76377.44905569158,6.499136478615753
Upper middle income,DALY,ETS,2016,5,4563149.599848968,4906149.790222043,4455741.417387964,5356558.163056122,-343000.1903730752,343000.1903730752,7.516742172652588,1,76377.44905569158,4.490856851254253
Upper middle income,DALY,ETS,2016,6,4873067.147893458,5089278.793945772,4514229.942114968,5664327.645776575,-216211.64605231397,216211.64605231397,4.436869829421056,1,76377.44905569158,2.830830941927119
Upper middle income,DALY,ARIMA,2016,1,4105745.1459060865,4119344.8112385357,4065358.4720674283,4173331.150409643,-13599.665332449134,13599.665332449134,0.3312350097036493,1,76377.44905569158,0.17805864820822656
Upper middle income,DALY,ARIMA,2016,2,4163097.716688447,4254923.6619450245,4132780.079803451,4377067.244086598,-91825.94525657734,91825.94525657734,2.2057119843350845,1,76377.44905569158,1.2022651501442696
Upper middle income,DALY,ARIMA,2016,3,4170876.9996002666,4346891.533243538,4158449.716594759,4535333.349892316,-176014.5336432713,176014.5336432713,4.220084496860981,1,76377.44905569158,2.3045353807892703
Upper middle income,DALY,ARIMA,2016,4,4222895.9903025245,4415901.543623212,4172248.7996533066,4659554.287593117,-193005.55332068726,193005.55332068726,4.570454819723384,1,76377.44905569158,2.5269965900531033
Upper middle income,DALY,ARIMA,2016,5,4563149.599848968,4480088.025516425,4193386.111133903,4766789.939898948,83061.57433254272,83061.57433254272,1.820268490327205,1,76377.44905569158,1.0875143823143048
Upper middle income,DALY,ARIMA,2016,6,4873067.147893458,4549211.542539839,4228861.581428469,4869561.503651208,323855.605353619,323855.605353619,6.64582685862673,0,76377.44905569158,4.240199291252521
Upper middle income,DALY,Naive,2016,1,4105745.1459060865,3932903.268846598,3768168.6367900013,4097637.9009031947,172841.87705948856,172841.87705948856,4.209756595141624,0,76377.44905569158,2.2629962010574447
Upper middle income,DALY,Naive,2016,2,4163097.716688447,3932903.268846598,3699933.3179996177,4165873.2196935783,230194.44784184918,230194.44784184918,5.5294029472111035,1,76377.44905569158,3.0139059459029585
Upper middle income,DALY,Naive,2016,3,4170876.9996002666,3932903.268846598,3647574.516358408,4218232.021334788,237973.73075366858,237973.73075366858,5.70560413976427,1,76377.44905569158,3.1157590845976935
Upper middle income,DALY,Naive,2016,4,4222895.9903025245,3932903.268846598,3603434.0047334046,4262372.532959791,289992.72145592654,289992.72145592654,6.867152828813852,1,76377.44905569158,3.79683695961716
Upper middle income,DALY,Naive,2016,5,4563149.599848968,3932903.268846598,3564545.433319632,4301261.104373564,630246.33100237,630246.33100237,13.811651737721464,0,76377.44905569158,8.251733185574421
Upper middle income,DALY,Naive,2016,6,4873067.147893458,3932903.268846598,3529387.477342804,4336419.060350392,940163.8790468597,940163.8790468597,19.29306226476432,0,76377.44905569158,12.309443306509586
Upper middle income,DALY,Drift,2016,1,4105745.1459060865,4009280.7179022897,3937820.548590011,4080740.8872145684,96464.42800379684,96464.42800379684,2.3494986799164406,0,76377.44905569158,1.2629962010574427
Upper middle income,DALY,Drift,2016,2,4163097.716688447,4085658.166957981,3982743.760829714,4188572.573086248,77439.54973046621,77439.54973046621,1.8601424948551486,1,76377.44905569158,1.0139059459029613
Upper middle income,DALY,Drift,2016,3,4170876.9996002666,4162035.6160136727,4033760.6863828874,4290310.545644458,8841.383586593904,8841.383586593904,0.21197900555305887,1,76377.44905569158,0.11575908459769449
Upper middle income,DALY,Drift,2016,4,4222895.9903025245,4238413.065069364,4087761.800397319,4389064.32974141,-15517.074766839854,15517.074766839854,0.3674510289259629,1,76377.44905569158,0.20316304038284105
Upper middle income,DALY,Drift,2016,5,4563149.599848968,4314790.514125056,4143573.0707518836,4486007.957498228,248359.08572391234,248359.08572391234,5.442711887686799,0,76377.44905569158,3.251733185574425
Upper middle income,DALY,Drift,2016,6,4873067.147893458,4391167.963180748,4200607.511681338,4581728.414680158,481899.18471270986,481899.18471270986,9.889032309374732,0,76377.44905569158,6.309443306509582
Upper middle income,DALY,ETS,2017,1,4163097.716688447,4275191.368408737,4212724.357604944,4337658.379212529,-112093.6517202896,112093.6517202896,2.6925539429676166,0,79950.20564842482,1.4020433194782917
Upper middle income,DALY,ETS,2017,2,4170876.9996002666,4441245.69126306,4302783.093598036,4579708.288928084,-270368.6916627935,270368.6916627935,6.482298367674362,0,79950.20564842482,3.3817135236864813
Upper middle income,DALY,ETS,2017,3,4222895.9903025245,4603978.913676834,4374133.170345858,4833824.65700781,-381082.9233743092,381082.9233743092,9.02420813227296,0,79950.20564842482,4.766503353976267
