model,origin,h,target_year,DALY_actual,DALY_point,DALY_scenario_low,DALY_scenario_high,DALY_covered,DALY_ape,VLW_actual,VLW_point,VLW_scenario_low,VLW_scenario_high,VLW_covered,VLW_ape,rel_width_DALY,n_group_draws_nonpositive
ARIMA,2017,3,2020,5543301.44389638,5669789.858976737,5466383.31854923,5872429.245979493,1,2.281824583428172,666.011942526678,686.6299789874431,660.2645037095037,712.9587871639285,1,3.095745758333637,7.161569256176003,0
ARIMA,2017,4,2021,6029567.651407573,5795044.413977398,5533872.056740115,6056875.465136869,1,3.8895531319799925,721.6596713207388,698.8698212897261,665.3227628194209,732.4571398107688,1,3.157977497800868,9.025011217089068,0
ARIMA,2017,5,2022,6384465.217175624,5930089.850513502,5618692.929774752,6243885.046519056,0,7.116890001056815,770.5003415641659,712.4866926935589,673.3657858718293,751.94397934009055,0,7.529347586379453,10.542709006174114,0
ARIMA,2017,6,2023,6468654.8701936295,6073409.778792384,5717628.230891084,6428812.832015823,0,6.110158902161592,771.969704916931,727.2673220173598,683.2936052161465,771.272678625734,0,5.790691346415146,11.709807620887188,0
ARIMA,2018,1,2019,5409337.703633718,5387015.54356953,5326072.5849224925,5447671.406901822,1,0.4126597614564337,654.6443394892658,653.223797819818,645.2352268427562,661.1885296184341,1,0.21699441723671237,2.257257678130931,0
ARIMA,2018,2,2020,5543301.44389638,5446524.088900926,5311059.690860607,5582228.724079695,1,1.7458432664168804,666.011942526678,657.1227266958152,639.4269140158735,674.9472377720367,1,1.3346931583748156,4.978753950096053,0
ARIMA,2018,3,2021,6029567.651407573,5559779.0128996605,5359623.093023801,5759128.810737148,0,7.791415001343305,721.6596713207388,668.57134692621,642.8304299831007,694.3065464782653,0,7.356421108771345,7.185640234736372,0
ARIMA,2018,4,2022,6384465.217175624,5717829.602283058,5474945.474660445,5961021.443400308,0,10.44152630198641,770.5003415641659,686.3123622175317,655.5734176620273,717.0533015133191,0,10.926403896944041,8.501057263857223,0
ARIMA,2018,5,2023,6468654.8701936295,5885195.448427249,5608916.9436335815,6161555.238030796,0,9.01979520432995,771.969704916931,705.3618808010702,671.8390474017618,739.2445443487006,0,8.628295086143082,9.390313359004937,0
ARIMA,2019,1,2020,5543301.44389638,5492796.653913939,5432152.989360696,5553122.796332045,1,0.9110958603568404,666.011942526678,661.1471232642376,653.2459705813488,669.0335190603354,1,0.7304402446575536,2.202335432992075,0
ARIMA,2019,2,2021,6029567.651407573,5620249.712121876,5487185.858564576,5753579.252472529,0,6.788512260744668,721.6596713207388,673.8215920727386,656.5634404362744,691.191850949582,0,6.6288974081716106,4.739885370811728,0
ARIMA,2019,3,2022,6384465.217175624,5781013.431653372,5585168.285930222,5976173.815504245,0,9.451876782080877,770.5003415641659,691.1690255038058,666.1745325185486,716.1272377718929,0,10.296077987364987,6.76361565660981,0
ARIMA,2019,4,2023,6468654.8701936295,5946918.369681226,5707869.930194426,6186019.826171712,0,8.065610408687425,771.969704916931,709.2376914531051,679.2358485993371,739.2286217809257,0,8.126227371911746,8.04029694463279,0
ARIMA,2020,1,2021,6029567.651407573,5721172.422159329,5659230.003340327,5782837.563497324,0,5.114715466808818,721.6596713207388,684.0886728723876,676.1268398482546,692.0279209031648,0,5.206193437356825,2.1605284902485677,0
ARIMA,2020,2,2022,6384465.217175624,5912577.359828136,5778966.8733762745,6046730.952341533,0,7.391188475395021,770.5003415641659,704.0626560724342,686.9554085929364,721.2862397353247,0,8.622667883165228,4.528720093956488,0
ARIMA,2020,3,2023,6468654.8701936295,6090224.963503395,5895943.28874499,6284180.753760202,0,5.850210194919652,771.969704916931,722.1080727381355,697.7158720774729,746.43891570587,0,6.459014111720995,6.374763942904975,0
ARIMA,2021,1,2022,6384465.217175624,6632377.068334293,6521667.620076778,6741122.323407036,0,3.883048034966665,770.5003415641659,790.6147656189368,776.4147564784096,804.5704996319405,0,2.610566533161725,3.3088393658741944,0
ARIMA,2021,2,2023,6468654.8701936295,7172776.111284444,6902438.505963202,7440493.510284933,0,10.885126123133816,771.969704916931,848.5544683921638,814.2241439448698,882.8704753176587,0,9.920695460902028,7.5013494911021414,0
