model,Year,Group,DALY,DALY_lower_95_PI,DALY_upper_95_PI,VLW_billion,VLW_lower_95_PI_billion,VLW_upper_95_PI_billion,interval_level,simulation_draws,method
ARIMA,2040,All LMICs,9158997.614921698,8067787.853038183,10248644.600901745,537.3868092436057,488.980454324076,585.4389112900126,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2041,All LMICs,9355411.454337455,8217538.5472462615,10505638.22094635,547.7725117850523,498.15883823611057,597.7679644865647,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2042,All LMICs,9568707.450410992,8359553.72558366,10780696.232005237,559.4718472959252,507.6099420526739,611.5953299936265,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2043,All LMICs,9741852.958625756,8471308.458223071,11012606.385452388,568.0469963856559,514.3881238955747,621.6411356910418,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2044,All LMICs,9876898.27660783,8536038.632106667,11218076.727032311,573.6574966425604,518.306203625487,629.1019522658198,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2045,All LMICs,10022236.754926622,8613824.906902231,11429213.333951393,580.068927435296,522.7566045831729,637.4649524431637,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2046,All LMICs,10205269.199884739,8738546.049833704,11673265.15356857,589.4133980244048,530.7003974550639,647.8839900643378,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2047,All LMICs,10402453.440752633,8849271.664503474,11959275.135965304,599.8590469795553,538.907317222757,661.4033671999464,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2048,All LMICs,10576977.00562762,8956925.689504016,12178493.29783582,608.5414252994905,545.2060946014368,670.8472038637008,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2049,All LMICs,10726173.774814736,9040484.71026102,12429384.812371068,615.2530771003005,550.5814447020477,680.6887556502459,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2050,All LMICs,10878881.204565309,9103277.08121767,12630985.458198467,622.237900128822,554.7190605970849,688.7040699664877,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
