Country,Sex,Income Group,DALYs,VLW (billion USD),VLW undiscounted (billion USD),VLW/GDP (%)
Ukraine,Both,Upper middle income,"131,923 (110,384<e2><80><93>157,933)",6.208 (5.194<e2><80><93>7.431),2.833 (2.373<e2><80><93>3.392),0.9966 (0.8339<e2><80><93>1.1931)
Argentina,Both,Upper middle income,"136,348 (119,436<e2><80><93>153,855)",14.356 (12.576<e2><80><93>16.200),6.016 (5.272<e2><80><93>6.788),1.0432 (0.9138<e2><80><93>1.1771)
Belize,Both,Upper middle income,444 (360<e2><80><93>536),0.014 (0.012<e2><80><93>0.017),0.006 (0.005<e2><80><93>0.008),0.2534 (0.2055<e2><80><93>0.3064)
Dominica,Both,Upper middle income,154 (113<e2><80><93>202),0.009 (0.007<e2><80><93>0.012),0.004 (0.003<e2><80><93>0.005),0.6610 (0.4840<e2><80><93>0.8661)
Dominican Republic,Both,Upper middle income,"16,119 (11,381<e2><80><93>21,739)",1.342 (0.947<e2><80><93>1.810),0.601 (0.424<e2><80><93>0.810),0.4583 (0.3236<e2><80><93>0.6181)
Grenada,Both,Upper middle income,265 (210<e2><80><93>325),0.014 (0.011<e2><80><93>0.017),0.006 (0.005<e2><80><93>0.007),0.6242 (0.4942<e2><80><93>0.7670)
Haiti,Both,Lower middle income,"9,275 (5,871<e2><80><93>14,654)",0.035 (0.022<e2><80><93>0.055),0.019 (0.012<e2><80><93>0.030),0.0916 (0.0580<e2><80><93>0.1448)
Jamaica,Both,Upper middle income,"3,773 (3,064<e2><80><93>4,635)",0.108 (0.087<e2><80><93>0.132),0.046 (0.038<e2><80><93>0.057),0.2995 (0.2432<e2><80><93>0.3679)
Saint Lucia,Both,Upper middle income,355 (281<e2><80><93>433),0.030 (0.024<e2><80><93>0.036),0.013 (0.010<e2><80><93>0.015),0.6394 (0.5067<e2><80><93>0.7802)
Saint Vincent and the Grenadines,Both,Upper middle income,193 (153<e2><80><93>240),0.011 (0.009<e2><80><93>0.013),0.005 (0.004<e2><80><93>0.006),0.5374 (0.4268<e2><80><93>0.6678)
Suriname,Both,Upper middle income,"992 (706<e2><80><93>1,362)",0.061 (0.043<e2><80><93>0.084),0.028 (0.020<e2><80><93>0.038),0.4595 (0.3269<e2><80><93>0.6304)
Bolivia (Plurinational State of),Both,Lower middle income,"18,023 (12,450<e2><80><93>24,886)",0.529 (0.365<e2><80><93>0.730),0.240 (0.165<e2><80><93>0.331),0.3349 (0.2314<e2><80><93>0.4625)
Ecuador,Both,Upper middle income,"17,288 (15,158<e2><80><93>19,421)",0.696 (0.610<e2><80><93>0.782),0.296 (0.259<e2><80><93>0.332),0.2431 (0.2132<e2><80><93>0.2731)
Peru,Both,Upper middle income,"50,989 (42,910<e2><80><93>61,457)",2.267 (1.908<e2><80><93>2.733),0.957 (0.806<e2><80><93>1.154),0.3938 (0.3314<e2><80><93>0.4746)
Colombia,Both,Upper middle income,"63,591 (58,293<e2><80><93>68,992)",3.863 (3.541<e2><80><93>4.191),1.588 (1.456<e2><80><93>1.722),0.3525 (0.3231<e2><80><93>0.3824)
El Salvador,Both,Upper middle income,"9,740 (7,221<e2><80><93>12,699)",0.279 (0.207<e2><80><93>0.363),0.124 (0.092<e2><80><93>0.162),0.3484 (0.2583<e2><80><93>0.4542)
Guatemala,Both,Upper middle income,"9,985 (8,225<e2><80><93>12,046)",0.322 (0.266<e2><80><93>0.389),0.146 (0.120<e2><80><93>0.176),0.1294 (0.1066<e2><80><93>0.1562)
Honduras,Both,Lower middle income,"5,886 (3,850<e2><80><93>8,468)",0.072 (0.047<e2><80><93>0.103),0.031 (0.020<e2><80><93>0.044),0.0939 (0.0614<e2><80><93>0.1351)
Mexico,Both,Upper middle income,"149,820 (133,707<e2><80><93>166,958)",11.810 (10.540<e2><80><93>13.161),5.171 (4.615<e2><80><93>5.764),0.3653 (0.3260<e2><80><93>0.4071)
Nicaragua,Both,Lower middle income,"5,265 (3,782<e2><80><93>7,131)",0.080 (0.058<e2><80><93>0.108),0.034 (0.025<e2><80><93>0.047),0.1411 (0.1013<e2><80><93>0.1910)
Brazil,Both,Upper middle income,"395,519 (367,297<e2><80><93>421,752)",24.425 (22.682<e2><80><93>26.045),10.590 (9.837<e2><80><93>11.292),0.5463 (0.5073<e2><80><93>0.5825)
Paraguay,Both,Upper middle income,"9,015 (7,232<e2><80><93>11,284)",0.421 (0.337<e2><80><93>0.526),0.188 (0.151<e2><80><93>0.236),0.3499 (0.2807<e2><80><93>0.4379)
Algeria,Both,Upper middle income,"20,716 (12,701<e2><80><93>30,445)",0.906 (0.555<e2><80><93>1.332),0.388 (0.238<e2><80><93>0.570),0.1167 (0.0715<e2><80><93>0.1714)
Egypt,Both,Lower middle income,"125,082 (88,852<e2><80><93>166,493)",6.320 (4.490<e2><80><93>8.413),2.922 (2.075<e2><80><93>3.889),0.2979 (0.2116<e2><80><93>0.3965)
Iran (Islamic Republic of),Both,Upper middle income,"79,295 (55,373<e2><80><93>106,820)",4.135 (2.887<e2><80><93>5.570),1.740 (1.215<e2><80><93>2.344),0.2412 (0.1685<e2><80><93>0.3250)
Iraq,Both,Upper middle income,"57,939 (43,482<e2><80><93>72,724)",2.059 (1.546<e2><80><93>2.585),0.954 (0.715<e2><80><93>1.197),0.3118 (0.2340<e2><80><93>0.3914)
Jordan,Both,Lower middle income,"13,545 (9,771<e2><80><93>17,949)",0.288 (0.208<e2><80><93>0.382),0.120 (0.086<e2><80><93>0.159),0.2421 (0.1747<e2><80><93>0.3209)
Lebanon,Both,Lower middle income,"11,587 (8,638<e2><80><93>15,313)",0.327 (0.244<e2><80><93>0.433),0.138 (0.103<e2><80><93>0.183),0.4510 (0.3362<e2><80><93>0.5961)
Libya,Both,Upper middle income,"9,852 (6,223<e2><80><93>14,631)",0.322 (0.203<e2><80><93>0.478),0.150 (0.095<e2><80><93>0.222),0.3180 (0.2009<e2><80><93>0.4723)
Morocco,Both,Lower middle income,"21,304 (13,770<e2><80><93>31,309)",0.420 (0.272<e2><80><93>0.618),0.186 (0.120<e2><80><93>0.273),0.1109 (0.0717<e2><80><93>0.1630)
Palestine,Both,Lower middle income,"3,924 (2,812<e2><80><93>5,134)",0.036 (0.026<e2><80><93>0.047),0.018 (0.013<e2><80><93>0.024),0.1174 (0.0841<e2><80><93>0.1536)
Tunisia,Both,Lower middle income,"20,364 (14,682<e2><80><93>26,499)",0.679 (0.490<e2><80><93>0.884),0.295 (0.213<e2><80><93>0.384),0.3964 (0.2858<e2><80><93>0.5158)
Afghanistan,Both,Low income,"4,763 (2,768<e2><80><93>9,305)",0.010 (0.006<e2><80><93>0.019),0.005 (0.003<e2><80><93>0.010),0.0108 (0.0063<e2><80><93>0.0211)
Bangladesh,Both,Lower middle income,"86,463 (56,191<e2><80><93>125,007)",1.516 (0.985<e2><80><93>2.192),0.688 (0.447<e2><80><93>0.994),0.0967 (0.0628<e2><80><93>0.1397)
Bhutan,Both,Lower middle income,332 (206<e2><80><93>487),0.014 (0.009<e2><80><93>0.020),0.006 (0.004<e2><80><93>0.009),0.1078 (0.0667<e2><80><93>0.1580)
India,Both,Lower middle income,"591,785 (415,642<e2><80><93>819,313)",12.440 (8.737<e2><80><93>17.223),5.685 (3.993<e2><80><93>7.871),0.0838 (0.0589<e2><80><93>0.1160)
Nepal,Both,Lower middle income,"8,928 (5,730<e2><80><93>13,052)",0.071 (0.046<e2><80><93>0.104),0.031 (0.020<e2><80><93>0.046),0.0443 (0.0284<e2><80><93>0.0647)
Pakistan,Both,Lower middle income,"94,823 (61,645<e2><80><93>137,330)",0.886 (0.576<e2><80><93>1.284),0.416 (0.270<e2><80><93>0.602),0.0595 (0.0387<e2><80><93>0.0862)
Angola,Both,Lower middle income,"10,743 (7,145<e2><80><93>15,391)",0.207 (0.138<e2><80><93>0.297),0.106 (0.070<e2><80><93>0.151),0.0579 (0.0385<e2><80><93>0.0829)
Central African Republic,Both,Low income,"1,256 (730<e2><80><93>2,001)",0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.0173 (0.0101<e2><80><93>0.0276)
Congo,Both,Lower middle income,"2,254 (1,509<e2><80><93>3,211)",0.026 (0.017<e2><80><93>0.036),0.013 (0.009<e2><80><93>0.019),0.0605 (0.0405<e2><80><93>0.0861)
Democratic Republic of the Congo,Both,Low income,"31,893 (20,044<e2><80><93>45,372)",0.046 (0.029<e2><80><93>0.065),0.024 (0.015<e2><80><93>0.035),0.0251 (0.0158<e2><80><93>0.0358)
Equatorial Guinea,Both,Upper middle income,"985 (614<e2><80><93>1,438)",0.045 (0.028<e2><80><93>0.066),0.024 (0.015<e2><80><93>0.035),0.1409 (0.0879<e2><80><93>0.2058)
Gabon,Both,Upper middle income,"1,375 (923<e2><80><93>1,875)",0.082 (0.055<e2><80><93>0.112),0.040 (0.027<e2><80><93>0.055),0.1597 (0.1072<e2><80><93>0.2178)
Burundi,Both,Low income,"3,378 (2,178<e2><80><93>4,912)",0.003 (0.002<e2><80><93>0.004),0.001 (0.001<e2><80><93>0.002),0.0168 (0.0108<e2><80><93>0.0244)
Comoros,Both,Lower middle income,166 (110<e2><80><93>237),0.001 (0.001<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0242 (0.0161<e2><80><93>0.0344)
Djibouti,Both,Lower middle income,567 (358<e2><80><93>853),0.007 (0.004<e2><80><93>0.010),0.003 (0.002<e2><80><93>0.005),0.0838 (0.0530<e2><80><93>0.1260)
Kenya,Both,Lower middle income,"24,996 (17,333<e2><80><93>34,292)",0.252 (0.174<e2><80><93>0.345),0.116 (0.080<e2><80><93>0.159),0.0719 (0.0499<e2><80><93>0.0987)
Madagascar,Both,Low income,"11,433 (7,235<e2><80><93>17,272)",0.018 (0.011<e2><80><93>0.027),0.009 (0.006<e2><80><93>0.014),0.0312 (0.0198<e2><80><93>0.0472)
Malawi,Both,Low income,"2,735 (1,790<e2><80><93>3,929)",0.004 (0.003<e2><80><93>0.006),0.002 (0.001<e2><80><93>0.003),0.0111 (0.0073<e2><80><93>0.0160)
Mauritius,Both,Upper middle income,"2,408 (2,013<e2><80><93>2,868)",0.245 (0.205<e2><80><93>0.292),0.108 (0.090<e2><80><93>0.129),0.6644 (0.5555<e2><80><93>0.7913)
Mozambique,Both,Low income,"1,161 (769<e2><80><93>1,696)",0.002 (0.001<e2><80><93>0.002),0.001 (0.001<e2><80><93>0.001),0.0028 (0.0019<e2><80><93>0.0041)
Rwanda,Both,Low income,"7,566 (4,943<e2><80><93>10,743)",0.030 (0.020<e2><80><93>0.043),0.015 (0.010<e2><80><93>0.021),0.0634 (0.0414<e2><80><93>0.0900)
Somalia,Both,Low income,"2,159 (1,391<e2><80><93>3,262)",0.003 (0.002<e2><80><93>0.004),0.001 (0.001<e2><80><93>0.002),0.0093 (0.0060<e2><80><93>0.0140)
United Republic of Tanzania,Both,Lower middle income,"10,107 (6,639<e2><80><93>14,325)",0.052 (0.034<e2><80><93>0.073),0.024 (0.016<e2><80><93>0.034),0.0199 (0.0131<e2><80><93>0.0282)
Uganda,Both,Low income,"20,303 (13,341<e2><80><93>28,708)",0.070 (0.046<e2><80><93>0.099),0.034 (0.023<e2><80><93>0.049),0.0465 (0.0306<e2><80><93>0.0658)
Zambia,Both,Lower middle income,"3,547 (2,263<e2><80><93>5,142)",0.019 (0.012<e2><80><93>0.027),0.010 (0.006<e2><80><93>0.014),0.0219 (0.0140<e2><80><93>0.0318)
Botswana,Both,Upper middle income,"1,282 (803<e2><80><93>1,927)",0.078 (0.049<e2><80><93>0.118),0.037 (0.023<e2><80><93>0.055),0.1502 (0.0941<e2><80><93>0.2257)
Lesotho,Both,Lower middle income,"1,058 (674<e2><80><93>1,492)",0.003 (0.002<e2><80><93>0.005),0.002 (0.001<e2><80><93>0.003),0.0493 (0.0314<e2><80><93>0.0694)
Namibia,Both,Lower middle income,665 (442<e2><80><93>905),0.016 (0.011<e2><80><93>0.022),0.008 (0.005<e2><80><93>0.011),0.0477 (0.0317<e2><80><93>0.0649)
South Africa,Both,Upper middle income,"78,180 (63,457<e2><80><93>98,085)",2.936 (2.383<e2><80><93>3.684),1.454 (1.181<e2><80><93>1.823),0.3056 (0.2480<e2><80><93>0.3834)
Eswatini,Both,Lower middle income,563 (359<e2><80><93>837),0.014 (0.009<e2><80><93>0.020),0.007 (0.005<e2><80><93>0.011),0.0975 (0.0621<e2><80><93>0.1449)
Zimbabwe,Both,Lower middle income,"7,384 (4,717<e2><80><93>10,406)",0.065 (0.042<e2><80><93>0.092),0.032 (0.020<e2><80><93>0.045),0.0689 (0.0440<e2><80><93>0.0971)
Benin,Both,Lower middle income,"4,365 (2,902<e2><80><93>6,167)",0.023 (0.015<e2><80><93>0.033),0.011 (0.008<e2><80><93>0.016),0.0398 (0.0265<e2><80><93>0.0563)
Burkina Faso,Both,Low income,"4,959 (3,294<e2><80><93>6,833)",0.014 (0.010<e2><80><93>0.020),0.007 (0.005<e2><80><93>0.010),0.0227 (0.0151<e2><80><93>0.0312)
Cameroon,Both,Lower middle income,"13,570 (8,979<e2><80><93>19,509)",0.108 (0.072<e2><80><93>0.156),0.056 (0.037<e2><80><93>0.081),0.0705 (0.0467<e2><80><93>0.1014)
Cabo Verde,Both,Upper middle income,"912 (620<e2><80><93>1,277)",0.019 (0.013<e2><80><93>0.027),0.008 (0.005<e2><80><93>0.011),0.3542 (0.2407<e2><80><93>0.4958)
Chad,Both,Low income,"3,735 (2,397<e2><80><93>5,535)",0.011 (0.007<e2><80><93>0.016),0.006 (0.004<e2><80><93>0.009),0.0201 (0.0129<e2><80><93>0.0298)
Gambia,Both,Low income,391 (261<e2><80><93>555),0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.0167 (0.0111<e2><80><93>0.0237)
Ghana,Both,Lower middle income,"17,347 (11,474<e2><80><93>24,713)",0.228 (0.151<e2><80><93>0.325),0.112 (0.074<e2><80><93>0.160),0.0894 (0.0592<e2><80><93>0.1274)
Guinea,Both,Lower middle income,"1,807 (1,209<e2><80><93>2,553)",0.010 (0.007<e2><80><93>0.015),0.005 (0.004<e2><80><93>0.008),0.0166 (0.0111<e2><80><93>0.0234)
Guinea-Bissau,Both,Low income,532 (348<e2><80><93>748),0.002 (0.001<e2><80><93>0.002),0.001 (0.001<e2><80><93>0.001),0.0271 (0.0177<e2><80><93>0.0381)
Liberia,Both,Low income,"2,295 (1,474<e2><80><93>3,415)",0.003 (0.002<e2><80><93>0.005),0.002 (0.001<e2><80><93>0.003),0.0355 (0.0228<e2><80><93>0.0528)
Mali,Both,Low income,"11,999 (8,038<e2><80><93>16,682)",0.043 (0.029<e2><80><93>0.060),0.022 (0.015<e2><80><93>0.031),0.0570 (0.0382<e2><80><93>0.0793)
Mauritania,Both,Lower middle income,"2,338 (1,520<e2><80><93>3,365)",0.027 (0.018<e2><80><93>0.039),0.013 (0.008<e2><80><93>0.018),0.0779 (0.0506<e2><80><93>0.1121)
Niger,Both,Low income,"6,191 (4,011<e2><80><93>8,614)",0.010 (0.007<e2><80><93>0.014),0.005 (0.004<e2><80><93>0.008),0.0205 (0.0133<e2><80><93>0.0286)
Nigeria,Both,Lower middle income,"25,242 (16,435<e2><80><93>35,464)",0.411 (0.268<e2><80><93>0.577),0.207 (0.135<e2><80><93>0.291),0.0207 (0.0135<e2><80><93>0.0291)
Sao Tome and Principe,Both,Lower middle income,38 (24<e2><80><93>54),0.000 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0256 (0.0164<e2><80><93>0.0367)
Senegal,Both,Lower middle income,"5,541 (3,649<e2><80><93>7,928)",0.037 (0.024<e2><80><93>0.052),0.017 (0.011<e2><80><93>0.024),0.0425 (0.0280<e2><80><93>0.0608)
Sierra Leone,Both,Low income,"2,776 (1,781<e2><80><93>3,961)",0.011 (0.007<e2><80><93>0.016),0.006 (0.004<e2><80><93>0.009),0.0382 (0.0245<e2><80><93>0.0545)
Togo,Both,Low income,"2,987 (1,932<e2><80><93>4,293)",0.011 (0.007<e2><80><93>0.015),0.005 (0.003<e2><80><93>0.008),0.0361 (0.0234<e2><80><93>0.0519)
Tuvalu,Both,Upper middle income,15 (10<e2><80><93>20),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.2329 (0.1530<e2><80><93>0.3266)
Sudan,Both,Low income,"20,318 (12,232<e2><80><93>30,850)",0.048 (0.029<e2><80><93>0.074),0.023 (0.014<e2><80><93>0.035),0.0400 (0.0241<e2><80><93>0.0608)
