Country,Sex,Income Group,DALYs,VLW (billion USD),VLW undiscounted (billion USD),VLW/GDP (%)
Tajikistan,Male,Lower middle income,"1,550 (1,056<e2><80><93>2,059)",0.011 (0.007<e2><80><93>0.014),0.005 (0.003<e2><80><93>0.006),0.0211 (0.0144<e2><80><93>0.0280)
Tajikistan,Female,Lower middle income,"1,807 (1,233<e2><80><93>2,525)",0.013 (0.009<e2><80><93>0.018),0.006 (0.004<e2><80><93>0.008),0.0246 (0.0168<e2><80><93>0.0343)
China,Male,Upper middle income,"1,781,009 (1,519,033<e2><80><93>2,082,466)",142.609 (121.632<e2><80><93>166.747),58.347 (49.765<e2><80><93>68.223),0.4015 (0.3424<e2><80><93>0.4694)
China,Female,Upper middle income,"984,617 (824,039<e2><80><93>1,222,325)",78.840 (65.982<e2><80><93>97.874),30.979 (25.927<e2><80><93>38.458),0.2220 (0.1858<e2><80><93>0.2755)
Solomon Islands,Male,Lower middle income,408 (250<e2><80><93>615),0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.0521 (0.0319<e2><80><93>0.0785)
Solomon Islands,Female,Lower middle income,187 (118<e2><80><93>275),0.000 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0239 (0.0151<e2><80><93>0.0351)
Belize,Male,Upper middle income,193 (156<e2><80><93>231),0.006 (0.005<e2><80><93>0.007),0.003 (0.002<e2><80><93>0.003),0.1102 (0.0892<e2><80><93>0.1320)
Belize,Female,Upper middle income,251 (203<e2><80><93>305),0.008 (0.007<e2><80><93>0.010),0.003 (0.003<e2><80><93>0.004),0.1433 (0.1162<e2><80><93>0.1744)
Uzbekistan,Male,Lower middle income,"11,525 (9,628<e2><80><93>13,621)",0.270 (0.226<e2><80><93>0.320),0.122 (0.102<e2><80><93>0.144),0.0683 (0.0570<e2><80><93>0.0807)
Uzbekistan,Female,Lower middle income,"8,717 (7,212<e2><80><93>10,491)",0.204 (0.169<e2><80><93>0.246),0.088 (0.073<e2><80><93>0.106),0.0516 (0.0427<e2><80><93>0.0622)
United Republic of Tanzania,Male,Lower middle income,"6,119 (4,031<e2><80><93>8,570)",0.031 (0.021<e2><80><93>0.044),0.015 (0.010<e2><80><93>0.021),0.0120 (0.0079<e2><80><93>0.0169)
United Republic of Tanzania,Female,Lower middle income,"3,988 (2,608<e2><80><93>5,755)",0.020 (0.013<e2><80><93>0.029),0.009 (0.006<e2><80><93>0.014),0.0078 (0.0051<e2><80><93>0.0113)
Nepal,Male,Lower middle income,"5,346 (3,398<e2><80><93>7,715)",0.042 (0.027<e2><80><93>0.061),0.019 (0.012<e2><80><93>0.027),0.0265 (0.0168<e2><80><93>0.0382)
Nepal,Female,Lower middle income,"3,581 (2,332<e2><80><93>5,337)",0.028 (0.019<e2><80><93>0.042),0.013 (0.008<e2><80><93>0.019),0.0178 (0.0116<e2><80><93>0.0265)
Myanmar,Male,Lower middle income,"27,763 (17,716<e2><80><93>39,933)",0.256 (0.163<e2><80><93>0.368),0.130 (0.083<e2><80><93>0.187),0.0793 (0.0506<e2><80><93>0.1141)
Myanmar,Female,Lower middle income,"25,606 (16,798<e2><80><93>36,574)",0.236 (0.155<e2><80><93>0.337),0.109 (0.072<e2><80><93>0.156),0.0731 (0.0480<e2><80><93>0.1045)
Grenada,Male,Upper middle income,154 (120<e2><80><93>189),0.008 (0.006<e2><80><93>0.010),0.004 (0.003<e2><80><93>0.004),0.3623 (0.2827<e2><80><93>0.4455)
Grenada,Female,Upper middle income,111 (90<e2><80><93>136),0.006 (0.005<e2><80><93>0.007),0.003 (0.002<e2><80><93>0.003),0.2619 (0.2115<e2><80><93>0.3215)
Sri Lanka,Male,Lower middle income,"11,547 (9,263<e2><80><93>13,949)",0.402 (0.323<e2><80><93>0.486),0.172 (0.138<e2><80><93>0.208),0.1263 (0.1013<e2><80><93>0.1525)
Sri Lanka,Female,Lower middle income,"9,443 (7,585<e2><80><93>12,128)",0.329 (0.264<e2><80><93>0.422),0.134 (0.108<e2><80><93>0.172),0.1033 (0.0829<e2><80><93>0.1326)
Suriname,Male,Upper middle income,553 (394<e2><80><93>768),0.034 (0.024<e2><80><93>0.047),0.016 (0.011<e2><80><93>0.022),0.2559 (0.1824<e2><80><93>0.3555)
