Country,Sex,Income Group,DALYs (point estimate),VLW (billion constant-2023 USD; point estimate),VLW undiscounted (billion constant-2023 USD),VLW/GDP (%; point estimate)
Viet Nam,Female,Lower middle income,37088,7.501,3.017,0.4972
Peru,Male,Upper middle income,23509,5.058,2.152,0.8784
Peru,Female,Upper middle income,27479,5.912,2.479,1.0268
Paraguay,Male,Upper middle income,4595,1.005,0.461,0.8357
Paraguay,Female,Upper middle income,4420,0.966,0.422,0.8037
Chad,Male,Low income,2165,0.186,0.104,0.3558
Chad,Female,Low income,1570,0.135,0.074,0.2579
Sao Tome and Principe,Male,Lower middle income,20,0.003,0.001,0.1857
Sao Tome and Principe,Female,Lower middle income,17,0.002,0.001,0.1574
Haiti,Male,Lower middle income,4742,0.449,0.239,1.1714
Haiti,Female,Lower middle income,4533,0.429,0.229,1.1199
Guinea,Male,Lower middle income,957,0.104,0.053,0.1665
Guinea,Female,Lower middle income,850,0.092,0.048,0.1478
Mauritius,Male,Upper middle income,1463,0.415,0.188,1.1238
Mauritius,Female,Upper middle income,945,0.268,0.113,0.726
Botswana,Male,Upper middle income,767,0.183,0.087,0.3517
Botswana,Female,Upper middle income,516,0.123,0.056,0.2365
Libya,Male,Upper middle income,6133,1.19,0.545,1.1767
Libya,Female,Upper middle income,3719,0.722,0.344,0.7135
Equatorial Guinea,Male,Upper middle income,469,0.102,0.055,0.317
Equatorial Guinea,Female,Upper middle income,516,0.112,0.058,0.3491
Gambia,Male,Low income,204,0.019,0.009,0.2173
Gambia,Female,Low income,188,0.018,0.009,0.1999
Eswatini,Male,Lower middle income,281,0.049,0.027,0.3538
Eswatini,Female,Lower middle income,283,0.05,0.026,0.3566
Namibia,Male,Lower middle income,416,0.073,0.037,0.2183
Namibia,Female,Lower middle income,249,0.044,0.021,0.1308
Colombia,Male,Upper middle income,31070,7.417,3.114,0.6768
Colombia,Female,Upper middle income,32522,7.763,3.126,0.7084
Saint Lucia,Male,Upper middle income,181,0.048,0.021,1.0334
Saint Lucia,Female,Upper middle income,174,0.046,0.019,0.9926
El Salvador,Male,Upper middle income,4176,0.776,0.363,0.9696
El Salvador,Female,Upper middle income,5563,1.033,0.444,1.2916
Rwanda,Male,Low income,4207,0.405,0.206,0.8529
Rwanda,Female,Low income,3359,0.323,0.155,0.681
China,Both,Upper middle income,2765626,723.865,291.987,2.0379
Cambodia,Both,Lower middle income,9144,1.3,0.57,1.0042
Indonesia,Both,Upper middle income,283718,58.105,25.699,1.3404
Lao People's Democratic Republic,Both,Lower middle income,5715,0.909,0.431,1.2758
Malaysia,Both,Upper middle income,37254,11.735,4.905,0.9161
